MESE;COD_DITT;UNI_FUNZ;FNM_g_2017;FEM_g_2017;FTM_g_2017;ASIA;ateco;FNM_p_2016;FEM_p_2016;FTM_p_2016
2;00508278A;0;32;838;870;318663;282;25;80;105
1;00502145A;0;60;12;72;407226;143;102;4;106
1;00501945A;0;85;339;424;350286;81;78;28;106
1;00509124A;0;54;25;79;20088570;322;74;32;106
1;00506825A;0;55;26;81;18533268;237;65;41;106
7;00507190A;0;0;3207;3207;23173410;253;39;67;106
10;00075807Y;0;193;14;207;138614;267;103;4;107
6;00520108A;0;78887;13710;92597;679330;91;91;16;107
8;00003983O;0;228;48;276;85388;279;48;59;107
5;00509039A;0;41;66;107;18949074;322;36;71;107
8;00509389A;0;25;27;52;25998752;329;9;98;107
3;00509124A;0;94;96;190;20088570;322;85;23;108
8;00500271A;0;273;111;384;244617;310;81;27;108
11;00509449A;0;151;228;379;27249696;264;80;28;108
2;00024672O;0;;;;30285805;142;71;37;108
12;00506285A;0;698;13;711;634503;331;107;2;109
2;00505688A;0;186;1;187;256786;142;106;3;109
8;00520174A;0;208147;1128;209275;20720635;89;102;7;109
1;00508988A;0;233;8;241;18156975;331;64;45;109
10;00505368A;0;369;73;442;108697;282;51;58;109
9;00509039A;0;8;105;113;18949074;322;24;85;109
7;00000198B;0;60;404;464;28655;254;101;9;110
4;00507932A;0;57;38;95;102643;142;48;62;110
8;00505830A;0;214;0;214;341815;310;109;2;111
8;00007185E;0;229;34;263;28773;151;84;27;111
8;00502424A;0;125;17;142;29746641;162;78;33;111
8;00501207A;0;14;49;63;133458;322;13;98;111
8;00009904X;0;271;4;275;14177;151;111;1;112
12;00075807Y;0;278;6;284;138614;267;111;1;112
8;00503273A;0;2102;30;2132;23239079;284;108;4;112
1;00507285A;0;83;0;83;24100110;237;93;19;112
1;00506647A;0;88;9;97;10901331;289;80;32;112
2;00508651A;0;49;1507;1556;626244;262;54;58;112
9;00003109Q;4;67;208;275;24159397;256;14;98;112
4;00506825A;0;229;158;387;18533268;237;74;39;113
11;00508029A;0;72;839;911;145061;289;73;40;113
4;00509124A;0;58;86;144;20088570;322;55;58;113
1;00507712A;0;12;263;275;23674;282;18;95;113
8;00509383A;0;8;42;50;25986776;267;5;108;113
1;00508108A;0;93;9;102;191830;331;108;6;114
5;00500245A;0;155;0;155;33146;322;94;20;114
11;00509091A;0;2;104;106;19620859;322;11;103;114
3;00506333A;0;1;993;994;669460;237;6;108;114
2;00520102A;0;139;0;139;656507;182;110;5;115
6;00500379A;0;78;147;225;10654;152;100;15;115
4;00505747A;0;547;35;582;293781;152;80;35;115
1;00509383A;0;31;49;80;25986776;267;51;64;115
9;00506957A;0;27;358;385;19648994;251;50;65;115
3;00508688A;0;0;4779;4779;664963;310;38;77;115
11;00508659A;0;38;305;343;631569;324;3;112;115
8;00508838A;0;169;0;169;3392350;324;114;2;116
1;00505272A;0;60;2;62;77587;263;107;9;116
12;00508478A;0;1;0;1;29884009;256;101;15;116
4;00506117A;0;9;684;693;510994;257;11;105;116
4;00509039A;0;23;80;103;18949074;322;3;113;116
8;00017409G;0;;;;50363;331;114;3;117
8;00011999A;0;279;61;340;98281;133;88;29;117
2;00505081A;0;23;234;257;27770;284;54;63;117
7;00502116A;0;64;0;64;397561;284;40;77;117
5;00502984A;0;61;251;312;2692430;152;54;65;119
4;00505326A;0;115;83;198;94850;143;88;32;120
8;00508277A;0;76078;577643;653721;317619;259;55;65;120
5;00500116A;0;271;415;686;3346056;284;30;90;120
3;00520102A;0;164;7;171;656507;182;120;1;121
12;00505688A;0;125;2;127;256786;142;118;3;121
8;00520075A;0;137;6;143;460704;232;118;3;121
8;00503010A;0;64230;0;64230;2801601;257;118;3;121
8;00507909A;0;58;0;58;95253;256;75;46;121
3;00509024A;0;84;106;190;18540651;323;67;54;121
4;00508584A;0;302;10;312;554090;256;59;62;121
8;00506048A;0;56;94;150;463717;257;57;64;121
11;00505983A;0;80;257;337;423381;152;32;89;121
8;00004632N;0;150;99;249;2221874;234;93;29;122
3;00007480G;0;66;2714;2780;659727;289;66;56;122
8;00508623A;0;1555;3177;4732;594520;289;3;119;122
7;00509357A;0;204;2;206;25440875;142;122;1;123
8;00505445A;0;65;41;106;136950;259;64;59;123
2;00001828P;0;19;355;374;82309;324;54;69;123
5;00520108A;0;95025;12790;107815;679330;91;109;15;124
5;00024672O;0;;;;30285805;142;47;77;124
3;00003109Q;4;77;166;243;24159397;256;26;98;124
8;00019256T;0;67;349;416;2265639;321;21;103;124
11;00509471A;0;;;;27371496;162;119;6;125
8;00506802A;0;;;;18402921;257;105;20;125
5;00509124A;0;71;86;157;20088570;322;73;52;125
7;00509545A;0;216;0;216;29138288;120;125;1;126
8;00500748A;0;99;87;186;54307;284;48;78;126
8;00520038A;0;2;29780;29782;203529;142;13;113;126
8;00503861A;0;148;897;1045;21345488;284;6;120;126
10;00502145A;0;276;14;290;407226;143;124;3;127
2;00520075A;0;141;2;143;460704;232;124;3;127
11;00520102A;0;157;7;164;656507;182;117;11;128
12;00004109V;0;88;8;96;2269386;141;112;16;128
12;00500379A;0;47;2;49;10654;152;108;20;128
10;00003109Q;4;84;143;227;24159397;256;38;90;128
6;00075807Y;0;265;16;281;138614;267;127;2;129
2;00506637A;0;172;22;194;10794610;331;125;4;129
7;00005193S;0;119;114;233;29909157;274;85;44;129
1;00503727A;0;51;176;227;20076683;81;75;54;129
12;00507285A;0;138;14;152;24100110;237;125;5;130
11;00502145A;0;147;17;164;407226;143;120;10;130
10;00509591A;0;359;17;376;26786045;331;113;17;130
1;00505055A;0;146;38;184;21096;237;107;23;130
8;00012327C;0;128;76;204;541803;139;101;29;130
7;00500397A;0;114;138;252;13481;282;1;129;130
4;00509613A;0;0;1657;1657;29098731;289;1;129;130
6;00509124A;0;74;79;153;20088570;322;71;60;131
3;00505778A;0;411;1191;1602;312386;284;60;71;131
1;00520038A;0;62;124;186;203529;142;33;98;131
1;00507207A;0;;;;23234919;332;95;37;132
7;00509124A;0;94;70;164;20088570;322;89;43;132
8;00507733A;0;32;16;48;30697;103;1;131;132
10;00505167A;0;647;0;647;50038;331;127;6;133
9;00505688A;0;136;5;141;256786;142;126;7;133
9;00508108A;0;47;2;49;191830;331;84;49;133
1;00003273E;0;13;155;168;2246994;289;35;98;133
1;00508623A;0;26;136;162;594520;289;12;121;133
1;00520075A;0;107;6;113;460704;232;131;3;134
10;00506333A;0;5;524;529;669460;237;3;131;134
3;00508567A;0;;;;535434;291;65;70;135
8;00010358D;0;90;57;147;2402296;331;37;99;136
9;00509545A;0;198;3;201;29138288;120;133;4;137
8;00508522A;0;234;0;234;491401;251;132;5;137
2;00520174A;0;22779;7579;30358;20720635;89;130;7;137
5;00501207A;0;46;129;175;133458;322;28;109;137
1;00505207A;0;88;116;204;58207;251;20;117;137
1;00520174A;0;65527;3130;68657;20720635;89;129;9;138
11;00506191A;0;721;152;873;555849;331;126;12;138
5;00509545A;0;152;3;155;29138288;120;102;36;138
8;00505644A;0;186;349;535;234588;143;57;81;138
2;00505986A;0;32;415;447;425285;251;72;67;139
1;00003109Q;4;92;120;212;24159397;256;68;71;139
2;00509124A;0;56;46;102;20088570;322;64;75;139
8;00508956A;0;165;350;515;15025999;253;38;101;139
4;00508780A;0;226;0;226;2810216;331;137;3;140
8;00508831A;0;160;3;163;3362270;251;131;9;140
5;00502145A;0;80;5;85;407226;143;130;10;140
1;00020756Y;0;120;944;1064;492864;332;118;22;140
2;00019332H;0;17;979;996;177482;289;110;30;140
10;00508458A;0;681;1655;2336;435950;237;89;51;140
10;00509124A;0;53;61;114;20088570;322;81;59;140
2;00509613A;0;4;3425;3429;29098731;289;22;118;140
3;00509039A;0;19;92;111;18949074;322;3;137;140
8;00520039A;0;51;10;61;203763;272;136;5;141
8;00506180A;0;3;31;34;548790;263;26;115;141
3;00520075A;0;156;9;165;460704;232;139;3;142
8;00005240Z;0;79;96;175;2570134;256;103;39;142
11;00003109Q;4;144;169;313;24159397;256;27;115;142
8;00507877A;0;245;70;315;81049;259;140;3;143
5;00503098A;0;444;62;506;3203493;141;133;10;143
6;00502011A;0;305;21;326;369310;141;132;11;143
8;00506415A;0;130;35;165;2451113;332;116;27;143
4;00520038A;0;47;71;118;203529;142;69;74;143
3;00509545A;0;156;28;184;29138288;120;64;79;143
8;00503752A;0;22;289;311;20125677;322;25;118;143
6;00506164A;0;26;411;437;537842;257;11;132;143
1;00505283A;0;574;74;648;81139;251;37;107;144
8;00502499A;0;11;0;11;568626;81;27;117;144
5;00509091A;0;6;65;71;19620859;322;12;132;144
12;00520174A;0;0;0;0;20720635;89;137;8;145
10;00508108A;0;92;15;107;191830;331;118;27;145
1;00506572A;0;32;61;93;3808611;251;46;99;145
10;00508647A;0;545;1919;2464;619072;289;43;102;145
1;00509382A;0;145;11;156;25984960;268;137;9;146
12;00509124A;0;38;51;89;20088570;322;68;79;147
1;00001828P;0;40;18;58;82309;324;33;114;147
8;00004198Y;0;62;349;411;230540;245;23;124;147
3;00503717A;0;9;1142;1151;27320097;284;7;140;147
11;00508529A;0;831;0;831;496938;331;138;10;148
6;00505167A;0;2248;92;2340;50038;331;138;10;148
12;00500924A;0;208;40;248;79534;81;114;34;148
11;00505210A;0;35;787;822;58492;257;112;37;149
8;00509613A;0;0;344;344;29098731;289;50;99;149
3;00520108A;0;109432;21858;131290;679330;91;125;25;150
9;00509124A;0;65;58;123;20088570;322;94;56;150
8;00508196A;0;22;113;135;257304;323;65;85;150
2;00003109Q;4;63;141;204;24159397;256;41;109;150
8;00509382A;0;95;16;111;25984960;268;143;8;151
1;00506229A;0;18;1;19;26336474;282;127;24;151
8;00506285A;0;154;0;154;634503;331;100;51;151
8;00507715A;0;20;137;157;25002;323;24;127;151
12;00509039A;0;49;216;265;18949074;322;20;131;151
8;00500744A;0;513;7;520;54038;131;134;18;152
8;00508664A;0;221;50;271;639059;256;131;22;153
3;00507932A;0;115;117;232;102643;142;110;43;153
11;00509124A;0;66;63;129;20088570;322;84;69;153
8;00508785A;0;31;1734;1765;2885611;282;63;90;153
4;00003109Q;4;57;101;158;24159397;256;27;126;153
12;00005701L;0;500;204;704;140598;259;2;151;153
3;00507957A;0;39;1152;1191;116058;256;147;7;154
6;00007064R;0;31;1682;1713;334421;289;60;94;154
7;00005580A;0;14;1169;1183;245902;284;45;109;154
1;00500245A;0;110;0;110;33146;322;15;139;154
8;00505767A;0;62;175;237;308264;139;14;140;154
5;00505326A;0;51;7;58;94850;143;153;2;155
5;00506825A;0;64;220;284;18533268;237;111;44;155
8;00005954R;0;101;0;101;33731;259;153;3;156
8;00508166A;0;301;10;311;240942;331;150;6;156
6;00004109V;0;180;4;184;2269386;141;147;9;156
8;00007383I;0;16;88;104;379675;222;34;122;156
8;00507962A;0;0;856;856;118152;289;11;145;156
12;00505558A;0;9;163;172;193294;143;2;154;156
8;00028935R;0;256;12;268;41798;133;144;13;157
11;00507997A;0;10;1890;1900;132967;282;124;33;157
9;00500901A;0;56;40;96;75315;274;101;56;157
8;00006633A;0;121;98;219;109610;259;98;59;157
8;00505121A;0;166;1067;1233;38223;256;39;118;157
4;00520075A;0;164;2;166;460704;232;154;4;158
8;00508682A;0;288;55;343;660156;256;154;4;158
8;00504991A;0;416369;0;416369;3503;331;152;6;158
7;00520174A;0;176530;12168;188698;20720635;89;150;8;158
11;00505167A;0;585;0;585;50038;331;134;24;158
3;00505232A;0;0;4057;4057;64801;321;79;79;158
5;00507302A;0;26;514;540;24131882;152;31;127;158
8;00027594M;0;7;67;74;64907;239;5;153;158
8;00502574A;0;115;1;116;609947;162;142;17;159
8;00505368A;0;96;774;870;108697;282;87;72;159
12;00509382A;0;214;8;222;25984960;268;153;7;160
12;00506497A;1;176;1597;1773;3087187;257;124;36;160
1;00504981A;0;287;105;392;1580;282;121;39;160
8;00074490P;0;312;92;404;25989;161;117;43;160
2;00505716A;0;141;181;322;266589;322;88;72;160
5;00505232A;0;31;2645;2676;64801;321;24;136;160
1;00507946A;0;1003;109;1112;30510677;259;157;4;161
10;00520075A;0;274;3;277;460704;232;156;5;161
12;00508789A;0;243;74;317;2948390;256;141;20;161
11;00520108A;0;114553;25611;140164;679330;91;131;30;161
3;00506229A;0;167;213;380;26336474;282;128;33;161
5;00509681A;0;160;849;1009;19047036;331;106;55;161
8;00505686A;0;254;125;379;255594;310;98;63;161
1;00520162A;0;67;14;81;19617730;182;159;3;162
7;00500245A;0;11;0;11;33146;322;130;32;162
1;00003275I;0;56;81;137;671259;284;95;67;162
7;00006308O;0;1653;241;1894;3370729;284;82;80;162
3;00509383A;0;40;279;319;25986776;267;55;107;162
1;00509637A;0;185;1;186;364891;251;162;1;163
3;00520174A;0;65875;7819;73694;20720635;89;155;8;163
5;00520174A;0;128786;6074;134860;20720635;89;154;9;163
8;00010516U;0;646;55;701;82485;152;137;26;163
12;00508205A;0;82;103;185;261898;237;118;45;163
8;00009070X;0;224;106;330;363378;131;111;52;163
9;00012535L;0;149;10;159;1144243;81;109;54;163
1;00509681A;0;130;2;132;19047036;331;86;77;163
9;00520108A;0;136;7;143;679330;91;156;8;164
3;00508988A;0;450;183;633;18156975;331;155;9;164
8;00508027A;0;199940;10943;210883;144551;256;151;13;164
1;00019834I;0;219;123;342;29533382;237;127;37;164
2;00006308O;0;87;434;521;3370729;284;72;92;164
4;00006308O;0;58;222;280;3370729;284;51;113;164
8;00508389A;0;43;159;202;387626;152;30;134;164
9;00509383A;0;75;128;203;25986776;267;27;137;164
8;00500268A;0;68;113;181;21602084;259;16;148;164
8;00508739A;0;54;223;277;2371800;267;4;160;164
5;00520075A;0;189;4;193;460704;232;160;5;165
6;00520174A;0;129654;2637;132291;20720635;89;155;10;165
8;00506173A;0;;;;543680;279;148;17;165
11;00500515A;0;56;1751;1807;28651;251;90;75;165
9;00501207A;0;68;166;234;133458;322;31;134;165
2;00505055A;0;190;56;246;21096;237;124;42;166
2;00505386A;0;359;12;371;115106;251;88;78;166
8;00509067A;0;41;0;41;19122914;252;81;85;166
7;00019332H;0;176;1172;1348;177482;289;70;96;166
8;00508351A;0;58;153;211;373558;251;67;99;166
5;00003109Q;4;86;170;256;24159397;256;59;107;166
